98 ==> 67,0.33
98 ==> 56,0.33
98 ==> 34,0.33
94 ==> 67,0.33
94 ==> 56,0.33
38 ==> 34,0.33
3 ==> 14,0.33
21 ==> 67,0.33
21 ==> 18,0.33
21 ==> 14,0.33
20 ==> 14,0.33
113 ==> 56,0.33
113 ==> 18,0.33
11 ==> 67,0.33
0 ==> 67,0.33
0 ==> 18,0.33
28 ==> 14,0.33
99 ==> 56,0.3
99 ==> 18,0.3
99 ==> 14,0.3
91 ==> 67,0.3
91 ==> 56,0.3
91 ==> 18,0.3
78 ==> 67,0.3
78 ==> 18,0.3
32 ==> 56,0.3
90 ==> 67,0.29
90 ==> 56,0.29
90 ==> 18,0.29
57 ==> 67,0.29
57 ==> 60,0.29
57 ==> 34,0.29
57 ==> 18,0.29
57 ==> 14,0.29
42 ==> 67,0.29
42 ==> 56,0.29
42 ==> 34,0.29
42 ==> 14,0.29
42 ==> 117,0.29
39 ==> 86,0.29
39 ==> 67,0.29
39 ==> 60,0.29
39 ==> 56,0.29
39 ==> 18,0.29
15 ==> 67,0.29
15 ==> 56,0.29
15 ==> 18,0.29
15 ==> 14,0.29
101 ==> 67,0.29
101 ==> 56,0.29
101 ==> 34,0.29
101 ==> 14,0.29
101 ==> 1,0.29
100 ==> 67,0.29
67 ==> 14,0.27
48 ==> 67,0.27
48 ==> 56,0.27
48 ==> 14,0.27
16 ==> 67,0.27
16 ==> 56,0.27
16 ==> 14,0.27
14 ==> 67,0.27
6 ==> 14,0.27
30 ==> 56,0.27
30 ==> 18,0.27
108 ==> 67,0.27
108 ==> 18,0.27
108 ==> 14,0.27
111 ==> 56,0.26
97 ==> 86,0.25
93 ==> 60,0.25
93 ==> 56,0.25
93 ==> 18,0.25
93 ==> 14,0.25
86 ==> 67,0.25
86 ==> 56,0.25
86 ==> 18,0.25
86 ==> 14,0.25
74 ==> 14,0.25
72 ==> 67,0.25
72 ==> 56,0.25
72 ==> 18,0.25
72 ==> 14,0.25
72 ==> 111,0.25
68 ==> 67,0.25
68 ==> 14,0.25
66 ==> 56,0.25
50 ==> 67,0.25
50 ==> 34,0.25
46 ==> 67,0.25
46 ==> 60,0.25
46 ==> 56,0.25
46 ==> 34,0.25
46 ==> 18,0.25
46 ==> 14,0.25
46 ==> 117,0.25
43 ==> 56,0.25
